  x	|	y
-------------------
-6.00	|	-3.00
-5.80	|	-2.80
-5.60	|	-2.60
-5.40	|	-2.40
-5.20	|	-2.20
-5.00	|	-2.00
-4.80	|	-1.80
-4.60	|	-1.60
-4.40	|	-1.40
-4.20	|	-1.20
-4.00	|	-1.00
-3.80	|	-0.80
-3.60	|	-0.60
-3.40	|	-0.40
-3.20	|	-0.20
-3.00	|	0.00
-2.80	|	0.20
-2.60	|	0.40
-2.40	|	0.60
-2.20	|	0.80
-2.00	|	0.11
-1.80	|	0.14
-1.60	|	0.17
-1.40	|	0.21
-1.20	|	0.27
-1.00	|	0.33
-0.80	|	0.42
-0.60	|	0.52
-0.40	|	0.64
-0.20	|	0.80
 0.00	|	3.00
 0.20	|	4.08
 0.40	|	4.50
 0.60	|	4.80
 0.80	|	5.04
 1.00	|	5.24
 1.20	|	5.40
 1.40	|	5.54
 1.60	|	5.65
 1.80	|	5.75
 2.00	|	5.83
 2.20	|	5.89
 2.40	|	5.94
 2.60	|	5.97
 2.80	|	5.99
 3.00	|	6.00
 3.20	|	5.99
 3.40	|	5.97
 3.60	|	5.94
 3.80	|	5.89
 4.00	|	5.83
 4.20	|	5.75
 4.40	|	5.65
 4.60	|	5.54
 4.80	|	5.40
 5.00	|	5.24
 5.20	|	5.04
 5.40	|	4.80
 5.60	|	4.50
 5.80	|	4.08
 6.00	|	3.00
 6.20	|	2.70
 6.40	|	2.40
 6.60	|	2.10
 6.80	|	1.80
 7.00	|	1.50
 7.20	|	1.20
 7.40	|	0.90
 7.60	|	0.60
 7.80	|	0.30
